GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000024104.12	Washc2	0.528906825919818	2.22345365184411e-14	7.550005353083751e-14	0.014,0.022,0.009	0.057,0.038,0.019	-0.023
ENSMUSG00000024104.12	Washc2	0.528906825919818	2.22345365184411e-14	7.550005353083751e-14	1.0,0.374,1.0	1.0,1.0,1.0	-0.209
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.263,NA,NA	1.0,0.152,0.263	-0.209
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.0,0.0,0.0	0.0,0.0,0.016	-0.005
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.0,0.0,0.0	0.0,0.018,0.0	-0.006
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.0,0.0,0.0	0.015,0.137,0.0	-0.051
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.514,0.297,0.0	0.02,0.16,0.202	0.143
ENSMUSG00000024112.17	Cacna1h	1.19914176338816	3.0331490210425297e-34	1.8569754432009298e-33	0.0,0.0,0.0	0.0,0.024,0.0	-0.008
ENSMUSG00000024118.15	Tedc2	-0.309477264721106	4.86170380714562e-05	0.0001002918699619	0.113,0.094,0.115	0.163,0.207,0.152	-0.067
ENSMUSG00000024118.15	Tedc2	-0.309477264721106	4.86170380714562e-05	0.0001002918699619	0.031,0.082,0.069	0.081,0.041,0.073	-0.004
ENSMUSG00000024118.15	Tedc2	-0.309477264721106	4.86170380714562e-05	0.0001002918699619	0.209,0.381,0.461	0.721,0.466,0.544	-0.227
ENSMUSG00000024118.15	Tedc2	-0.309477264721106	4.86170380714562e-05	0.0001002918699619	0.006,0.0,0.0	0.003,0.017,0.004	-0.006
ENSMUSG00000024118.15	Tedc2	-0.309477264721106	4.86170380714562e-05	0.0001002918699619	1.0,1.0,0.795	1.0,0.8,1.0	-0.002
ENSMUSG00000024120.13	Lrpprc	-0.297951908518986	3.1252735618130197e-13	1.0105262065352099e-12	0.0,0.002,0.001	0.002,0.0,0.013	-0.004
ENSMUSG00000024120.13	Lrpprc	-0.297951908518986	3.1252735618130197e-13	1.0105262065352099e-12	0.0,0.005,0.0	0.004,0.0,0.003	-0.001
ENSMUSG00000024120.13	Lrpprc	-0.297951908518986	3.1252735618130197e-13	1.0105262065352099e-12	0.008,0.012,0.008	0.014,0.007,0.007	0.0
ENSMUSG00000024120.13	Lrpprc	-0.297951908518986	3.1252735618130197e-13	1.0105262065352099e-12	1.0,1.0,0.936	1.0,1.0,1.0	-0.021
ENSMUSG00000024120.13	Lrpprc	-0.297951908518986	3.1252735618130197e-13	1.0105262065352099e-12	0.938,1.0,1.0	1.0,1.0,1.0	-0.021
ENSMUSG00000024122.17	Pdpk1	-0.351281002290694	4.32074873406473e-16	1.5681735862125902e-15	0.0,0.0,0.008	0.005,0.016,0.0	-0.004
ENSMUSG00000024124.11	Prss30	2.91439311952346	6.62579964338055e-07	1.56674904076562e-06	0.0,NA,NA	NA,0.0,0.0	0.0
ENSMUSG00000024124.11	Prss30	2.91439311952346	6.62579964338055e-07	1.56674904076562e-06	0.0,NA,0.0	0.0,0.0,0.07	-0.023
ENSMUSG00000024127.16	Prepl	-0.432536536325493	4.3555022036285594e-11	1.281931761536e-10	1.0,1.0,0.969	1.0,1.0,1.0	-0.01
ENSMUSG00000024127.16	Prepl	-0.432536536325493	4.3555022036285594e-11	1.281931761536e-10	1.0,1.0,1.0	1.0,1.0,0.952	0.016
ENSMUSG00000024130.17	Abca3	-0.998872972685117	6.34235655133219e-208	2.78314453830849e-206	0.017,0.013,0.01	0.014,0.006,0.009	0.004
ENSMUSG00000024130.17	Abca3	-0.998872972685117	6.34235655133219e-208	2.78314453830849e-206	0.02,0.009,0.013	0.018,0.006,0.02	-0.001
ENSMUSG00000024130.17	Abca3	-0.998872972685117	6.34235655133219e-208	2.78314453830849e-206	0.033,0.061,0.036	0.053,0.063,0.04	-0.009
ENSMUSG00000024130.17	Abca3	-0.998872972685117	6.34235655133219e-208	2.78314453830849e-206	0.027,0.026,0.032	0.026,0.034,0.051	-0.009
